,y1,y2
0,490.129,453.672
1,383.015,443.355
2,302.273,445.587
3,406.478,554.996
4,387.442,468.525
5,453.122,533.2139999999999
6,426.6,443.845
7,546.551,461.851
8,472.071,416.341
9,380.272,508.887
10,543.476,396.35699999999997
11,377.461,381.288
12,371.59000000000003,476.415
13,564.345,384.234
14,476.558,506.318
15,357.14,400.804
16,407.31,405.021
17,540.031,419.473
18,508.032,506.551
19,508.341,507.756
20,443.668,357.95
21,458.484,346.298
22,572.174,405.764
23,441.719,512.903
24,497.369,469.085
25,377.549,367.234
26,525.176,504.974
27,557.338,374.278
28,321.745,424.841
29,478.772,450.915
30,477.962,325.861
31,498.009,574.836
32,534.532,557.902
33,476.874,380.519
34,488.672,474.212
35,390.795,358.467
36,450.104,417.409
37,410.912,458.422
38,452.468,392.377
39,431.69,411.10699999999997
40,539.537,402.474
41,469.415,459.265
42,481.896,459.34000000000003
43,407.032,513.992
44,525.063,401.467
45,410.111,470.604
46,430.615,378.125
47,437.034,463.11400000000003
48,429.625,450.16700000000003
49,515.744,486.68399999999997
50,458.51800000000003,429.739
51,379.636,379.289
52,371.638,376.422
53,516.719,468.455
54,429.49,432.343
55,492.617,475.344
56,428.104,508.44100000000003
57,470.206,376.15999999999997
58,469.525,395.388
59,395.21,405.662
60,369.144,339.583
61,492.277,560.8050000000001
62,471.345,405.687
63,366.102,430.252
64,349.158,483.313
65,457.507,443.821
66,459.134,365.429
67,435.408,536.6
68,583.082,510.18600000000004
69,444.673,452.334
70,436.696,467.195
71,382.236,449.288
72,556.285,487.026
73,516.696,413.765
74,449.837,486.962
75,494.726,388.628
76,436.983,429.975
77,524.9110000000001,417.555
78,535.465,383.89
79,503.21500000000003,465.442
80,553.093,456.355
81,347.79,477.338
82,402.449,426.997
83,468.002,488.539
84,427.96299999999997,401.109
85,451.508,509.866
86,335.856,543.27
87,396.041,381.617
88,531.378,397.243
89,478.913,496.673
90,566.984,457.82
91,384.663,333.074
92,370.795,500.68600000000004
93,418.29,536.627
94,473.615,369.642
95,371.021,532.935
96,472.256,510.014
97,455.62,394.68600000000004
98,393.541,419.14300000000003
99,518.542,469.432
100,382.055,481.516
101,352.523,486.761
102,401.718,353.85699999999997
103,321.589,519.23
104,441.515,431.345
105,329.6,453.661
106,525.517,416.322
107,321.9,539.466
108,476.467,323.377
109,550.258,410.225
110,389.271,504.403
111,503.257,527.8340000000001
112,573.668,419.422
113,376.693,408.943
114,542.502,365.932
115,439.391,527.575
116,559.008,483.651
117,389.003,491.13800000000003
118,441.731,383.512
119,495.142,438.669
120,431.059,413.213
121,485.843,368.22
122,464.312,326.484
123,497.839,521.821
124,414.398,393.78
125,535.021,378.853
126,403.759,394.10699999999997
127,468.37,467.74
128,519.723,498.759
129,361.271,376.124
130,433.179,470.219
131,393.245,418.586
132,453.186,481.262
133,504.508,580.323
134,362.649,497.98
135,445.07,404.353
136,452.8,577.2139999999999
137,533.717,558.79
138,467.195,434.719
139,461.76800000000003,537.892
140,463.431,494.379
141,436.73199999999997,560.394
142,346.027,370.027
143,504.685,550.796
144,461.33299999999997,529.766
145,353.734,426.98699999999997
146,557.28,561.955
147,421.82,411.601
148,451.98,484.282
149,482.659,514.175
150,419.162,473.764
151,394.308,382.161
152,479.81600000000003,512.996
153,455.516,500.409
154,581.484,483.83
155,507.589,429.097
156,455.73699999999997,417.471
157,509.363,426.921
158,476.123,398.984
159,409.44100000000003,446.26
160,446.007,541.171
161,336.625,405.464
162,506.746,416.741
163,456.944,388.05
164,400.48,338.767
165,455.741,512.624
166,402.304,451.45
167,471.664,530.582
168,335.296,413.683
169,544.96,478.392
170,318.966,515.419
171,342.98,502.418
172,434.81,462.073
173,515.586,542.077
174,561.892,414.713
175,494.928,437.663
176,379.855,428.251
177,412.328,366.929
178,488.979,529.3050000000001
179,452.147,395.964
180,578.371,391.921
181,489.716,476.102
182,431.728,469.797
183,532.21,475.33
184,534.514,464.993
185,522.861,414.21299999999997
186,383.082,484.54
187,422.927,491.83
188,447.988,474.96500000000003
189,513.758,404.196
190,449.671,537.85
191,413.536,504.203
192,355.513,340.176
193,494.179,432.763
194,308.349,312.09
195,431.873,317.471
196,426.849,455.63
197,378.082,370.351
198,444.188,409.866
199,467.809,482.558
200,543.42,507.213
201,428.785,470.139
202,504.26,415.246
203,474.02,372.575
204,458.06399999999996,486.17
205,463.158,381.011
206,412.216,431.462
207,570.0409999999999,554.129
208,424.557,427.865
209,479.39300000000003,396.606
210,449.447,564.128
211,457.845,458.372
212,562.069,343.806
213,464.828,539.715
214,455.008,570.401
215,503.155,511.95
216,451.828,395.296
217,411.159,508.33
218,385.33299999999997,544.63
219,548.027,491.081
220,557.539,404.99
221,434.671,470.68399999999997
222,440.954,417.784
223,363.974,467.283
224,497.663,359.905
225,497.60699999999997,405.494
226,497.1,523.338
227,393.472,425.448
228,457.525,387.188
229,504.763,387.193
230,449.784,320.569
231,436.365,421.892
232,381.242,425.956
233,367.96500000000003,429.054
234,524.717,559.0699999999999
235,408.543,545.482
236,511.289,338.577
237,502.719,537.973
238,473.971,541.767
239,473.43,464.556
240,528.303,404.286
241,508.412,460.161
242,465.661,442.854
243,496.952,530.815
244,560.606,494.261
245,388.558,383.18
246,542.517,356.284
247,508.342,463.533
248,418.002,389.423
249,328.856,400.17
250,489.509,496.282
251,425.45799999999997,542.807
252,337.434,459.80899999999997
253,362.626,443.375
254,391.717,340.748
255,440.526,573.571
256,359.648,425.219
257,386.117,516.325
258,425.712,469.902
259,393.55899999999997,432.835
260,467.484,329.658
261,536.91,537.335
262,500.045,383.882
263,439.549,357.302
264,425.022,414.474
265,546.832,397.051
266,584.065,565.19
267,462.891,442.766
268,441.532,353.841
269,472.602,373.225
270,563.146,401.729
271,471.872,400.621
272,489.195,479.047
273,537.41,509.197
274,400.681,399.563
275,453.115,518.925
276,436.241,363.865
277,437.966,329.506
278,332.594,529.9639999999999
279,399.56600000000003,420.897
280,462.034,467.076
281,465.601,396.779
282,406.126,479.025
283,473.721,469.734
284,382.01,398.429
285,463.679,508.481
286,421.476,518.029
287,327.605,347.822
288,470.524,501.799
289,385.877,524.972
290,573.234,435.891
291,512.827,413.98
292,458.73199999999997,354.329
293,474.404,375.623
294,346.705,505.912
295,446.286,503.274
296,429.784,497.877
297,469.045,487.574
298,460.271,476.196
299,424.95,400.895
300,550.828,341.084
301,387.296,431.433
302,365.055,453.32
303,583.574,417.476
304,539.354,428.121
305,574.779,345.957
306,511.366,509.082
307,429.679,535.767
308,496.028,476.757
309,553.798,544.111
310,427.585,482.932
311,477.301,550.158
312,513.7,494.36
313,333.047,554.093
314,476.925,490.276
315,518.628,464.308
316,550.944,395.398
317,318.896,341.781
318,522.764,373.117
319,435.972,568.863
320,484.543,379.918
321,421.366,480.183
322,341.593,519.955
323,508.04200000000003,408.253
324,454.769,513.522
325,462.865,449.476
326,521.495,533.4159999999999
327,501.316,448.491
328,577.019,424.925
329,430.49,496.472
330,390.146,359.627
331,532.038,511.601
332,495.239,424.369
333,364.758,428.561
334,486.134,426.685
335,344.091,394.043
336,410.334,565.297
337,488.881,539.1179999999999
338,406.556,502.113
339,509.66200000000003,504.78
340,486.772,563.142
341,531.802,403.355
342,400.069,444.093
343,467.371,459.626
344,427.308,519.931
345,541.01,467.783
346,451.777,450.273
347,433.092,556.625
348,355.073,466.667
349,411.671,469.474
350,363.507,347.01
351,389.026,496.556
352,498.872,370.283
353,364.176,470.185
354,431.039,452.871
355,538.992,572.261
356,419.994,554.509
357,371.499,450.951
358,438.40999999999997,395.847
359,366.128,456.018
360,503.454,539.57
361,478.926,525.284
362,431.862,405.313
363,433.762,398.629
364,357.176,310.187
365,559.1800000000001,533.624
366,377.128,494.317
367,512.5840000000001,518.845
368,460.49,377.846
369,522.663,491.681
370,422.665,426.656
371,459.915,393.69
372,340.931,500.67
373,401.746,539.237
374,320.953,436.128
375,446.168,516.247
376,361.39300000000003,527.24
377,469.722,473.837
378,423.247,414.679
379,447.503,388.995
380,380.289,486.784
381,415.967,401.665
382,428.85,406.313
383,492.84000000000003,460.754
384,478.83,523.506
385,378.345,334.26800000000003
386,388.095,322.303
387,399.936,551.505
388,455.239,398.401
389,380.557,501.372
390,370.373,562.544
391,430.83299999999997,400.41700000000003
392,421.842,498.757
393,468.463,513.928
394,514.211,547.326
395,421.629,368.892
396,372.227,389.767
397,360.29200000000003,343.89
398,385.182,540.523
399,518.403,499.468
400,458.765,505.685
401,469.224,368.756
402,435.319,350.321
403,564.124,434.061
404,346.734,508.804
405,445.127,558.125
406,491.862,364.48199999999997
407,434.569,485.267
408,506.459,535.5070000000001
409,369.644,564.249
410,379.202,544.659
411,451.328,447.006
412,357.052,451.485
413,447.735,409.878
414,558.972,410.859
415,379.93,372.666
416,510.479,415.692
417,447.20799999999997,428.617
418,408.466,550.651
419,500.219,541.016
420,501.579,380.421
421,539.952,527.857
422,386.519,520.296
423,469.079,432.164
424,542.836,390.315
425,523.11,472.07
426,407.394,351.21500000000003
427,522.905,564.473
428,469.79,554.576
429,407.797,510.342
430,513.675,506.31
431,523.821,568.774
432,421.44,433.43
433,546.364,431.872
434,442.087,364.68899999999996
435,473.129,403.029
436,391.248,565.17
437,405.254,510.312
438,356.555,383.065
439,583.699,396.967
440,453.228,481.194
441,419.391,449.128
442,510.01,501.405
443,429.848,465.328
444,508.654,546.252
445,403.919,334.295
446,452.617,337.696
447,511.777,552.641
448,378.274,441.54
449,428.80899999999997,414.912
450,456.761,308.205
451,463.379,404.281
452,538.24,516.184
453,486.937,543.929
454,488.985,370.205
455,517.998,472.178
456,336.316,469.987
457,473.256,426.091
458,411.749,575.655
459,427.22,521.841
460,527.189,526.529
461,478.26,363.306
462,443.231,483.586
463,496.19,551.075
464,376.024,491.067
465,343.049,422.334
466,433.387,487.915
467,395.027,395.848
468,374.694,445.183
469,538.374,572.303
470,335.63,380.983
471,528.377,340.82
472,464.777,463.229
473,399.633,516.587
474,510.513,382.642
475,533.207,536.827
476,403.66200000000003,452.0
477,523.49,373.683
478,529.574,414.076
479,490.512,494.539
480,536.096,323.912
481,411.133,469.751
482,494.099,434.817
483,323.807,330.167
484,464.335,458.329
485,538.182,536.466
486,338.472,466.581
487,442.533,540.403
488,419.087,465.078
489,344.41,502.414
490,406.454,520.143
491,332.652,480.392
492,506.78,479.476
493,388.543,408.21
494,408.643,439.434
495,430.889,343.316
496,383.947,437.861
497,324.872,471.575
498,585.933,402.767
499,532.403,458.675
500,384.204,440.755
501,396.508,492.407
502,431.949,424.605
503,413.592,309.726
504,502.675,553.847
505,509.092,502.894
506,464.054,477.978
507,531.931,438.033
508,451.747,352.911
509,497.96,481.007
510,451.707,533.351
511,400.719,525.343
512,440.721,526.678
513,466.938,385.461
514,381.718,482.11
515,502.841,366.034
516,510.688,405.187
517,443.029,423.61
518,487.486,395.874
519,494.536,407.828
520,462.468,489.762
521,363.547,389.994
522,470.817,475.494
523,405.98,428.799
524,429.599,461.521
525,448.73199999999997,369.355
526,496.734,578.467
527,411.16200000000003,518.818
528,526.396,396.742
529,373.355,398.777
530,496.039,543.402
531,523.982,464.826
532,406.501,535.513
533,586.851,390.254
534,469.368,435.751
535,425.791,466.824
536,457.187,424.273
537,391.257,505.714
